breed,breed purpose
Aloha Chickens,eggs
Aloha Chickens,meat
Altsteirer Styrian Hen,eggs
Altsteirer Styrian Hen,meat
Amber Star Hybrid,eggs
Amber Whites,eggs
Amber Whites,meat
Ameraucana,eggs
Ameraucana,meat
American Bresse,eggs
American Bresse,meat
American Game,ornamental
American Game Bantams,ornamental
Ancona,eggs
Andalusian,eggs
Appenzeller Spitzhauben,ornamental
Arau-ameraucana,eggs
Arau-ameraucana,meat
Araucana,eggs
Araucana,meat
Aseel,ornamental
Australorp,eggs
Australorp,meat
Ayam Cemani,ornamental
Bantam,pet
Bantam Barred Rock,
Bantam Orpington,eggs
Bantam Orpington,meat
Bantam Partridge Wyandotte,ornamental
Barbezieux Chicken,
Barnevelder,eggs
Barnevelder,meat
Barnyard Mix,eggs
Barnyard Mix,meat
Barred Rock,eggs
Barred Rock,meat
Belgian Cuckoo Malines,
Belgian D' Anver,ornamental
Belgian D' Uccle,ornamental
Belgian Watermaal,
Bielefelder,eggs
Bielefelder,meat
Black Sex Link Chicken,eggs
Black Sex Link Chicken,meat
Blue Isbar,
Booted,ornamental
Brabanter,ornamental
Brahma,eggs
Brahma,meat
Brahma - Bantam,eggs
Brahma - Bantam,meat
Bredas,eggs
Bredas,meat
British Tailed Araucana,ornamental
Brown Leghorn,eggs
Brown Leghorn,meat
Buckeye,eggs
Buckeye,meat
Buff Cochin,
Buff Orpington X Black Australorp,eggs
Buff Orpington X Easter Egger,
Buff Orpington X Gold Laced Wyandotte,
California Grey,eggs
California Grey,meat
Campine,eggs
Carolina Blue Sex-link Ee,ornamental
Catalana,eggs
Catalana,meat
Chantecler,eggs
Chantecler,meat
Chicken Phoenix - Bantam,ornamental
Cochin,ornamental
Colombian Rock,
Columbian Blacktails,eggs
Columbian Blacktails,meat
Cornish,meat
Cornish Bantams,meat
Cornish Cross,meat
Cream Brabanter,eggs
Crevecoeur,eggs
Crevecoeur,meat
Cubalaya,ornamental
Cuckoo Maran,eggs
Cuckoo Maran,meat
Delaware,eggs
Delaware,meat
Delaware Blue Hen,eggs
Delaware Blue Hen,meat
Derbyshire Redcap,eggs
Derbyshire Redcap,meat
Dominique,eggs
Dominique,meat
Dorking,eggs
Dorking,meat
Dutch,ornamental
East Frisian Gull - An Old World Landrace,
Easter Egger Bantam,eggs
Easter Egger Bantam,meat
Easter Eggers,eggs
Euskal Oiloa - Marraduna Basque,
Favacauna,ornamental
Faverolles,eggs
Faverolles,meat
Fayoumis,ornamental
Flarry Eyed Gray,ornamental
Freedom Ranger,
Frizzle,eggs
Frizzle,meat
Gallo Giro,eggs
Gallo Giro,meat
Gallo Kelso,eggs
Gallo Kelso,meat
Genetic Hackle,
Giro Gamefowl,
Gold Star,eggs
Golden Campines,eggs
Golden Comet,eggs
Golden Penciled Hamburg,
Golden Sex Link,eggs
Greek,
Green Queen,eggs
Hamburg,ornamental
Hmong Chickens ,meat
Holland,eggs
Holland,meat
Houdan,ornamental
Hy-line Layers,
Icelandic Or Viking Hen,eggs
Icelandic Or Viking Hen,meat
Iowa Blue,eggs
Iowa Blue,meat
Ixworth,eggs
Ixworth,meat
Japanese,ornamental
Java,eggs
Java,meat
Jersey Giant,eggs
Jersey Giant,meat
Ko Shamo,ornamental
Kraienk̦ppe,
La Fleche,eggs
La Fleche,meat
Lakenvelder,eggs
Langshan,eggs
Langshan,meat
Lavender Orpington Bantam,eggs
Legbar,eggs
Legbar,meat
Leghorn,eggs
Leghorn - Bantam,ornamental
Lohman Brown,eggs
Malay,ornamental
Marans,eggs
Marans,meat
Minorca,eggs
Mixing Chickens,
Modern Game,ornamental
Mottled Cochin ,brooding
Naked Neck-turken,eggs
Naked Neck-turken,meat
Nankin Bantams,eggs
Nankin Bantams,meat
New Hampshire,eggs
New Hampshire,meat
Norfolk Grey,eggs
Norfolk Grey,meat
Northern California Poulet Bleu,eggs
Northern California Poulet Bleu,meat
Norwegian Jaerhon,eggs
O Shamo,ornamental
Ohiki,ornamental
Olandsk Dwarf,ornamental
Old English Game Bantam,ornamental
Olive Egger,eggs
Orpington,eggs
Orpington,meat
Partridge Plymouth Rock,eggs
Partridge Plymouth Rock,meat
Pavlovskaja,eggs
Pavlovskaja,meat
Penedesenca,eggs
Phoenix,ornamental
Pita Pinta ,eggs
Pita Pinta ,meat
Plymouth Rock,eggs
Plymouth Rock,meat
Polish,ornamental
Porcelain D' Uccle Bantam,ornamental
Production,eggs
Production,meat
Production Black ,eggs
Production Reds,eggs
Pyncheon,ornamental
Queen Silvia,
Red Sex Link,eggs
Red Sussex Rooster - Rooster Booster,
Red-breasted Rosecomb Bantam,ornamental
Rhode Island Red,eggs
Rhode Island Red,meat
Rhode Island Red Bantam,ornamental
Rhode Island White,eggs
Rhode Island White,meat
Rhodebar,eggs
Rhodebar,meat
Rosecomb,ornamental
Russian Crested,eggs
Russian Crested,meat
Russian Orloff,eggs
Russian Orloff,meat
Sagitta Chiken,eggs
Sagitta Chiken,meat
Salmon Favorelle,eggs
Salmon Favorelle,meat
Sapphire Gem ,
Sebright,ornamental
Serama,ornamental
Showgirl,ornamental
Sicilian Buttercup,ornamental
Sienna Star,eggs
Sienna Star,meat
Silkie,ornamental
Silver Sussex,eggs
Silver Sussex,meat
Sizzle,ornamental
Smaaland,eggs
Star,eggs
Star,meat
Sulmtaler,meat
Sultan,ornamental
Sumatra,ornamental
Super Blue Egg Layer,eggs
Sussex,eggs
Sussex,meat
Svart Hona,eggs
Svart Hona,ornamental
Swedish Flower Chicken,eggs
Swedish Flower Chicken,meat
Transylvanian Naked Neck ,
Vorwerk,eggs
Vorwerk,meat
Welbar,eggs
Welsummer,eggs
Welsummer,meat
White Bresse,
White Faced Black Spanish,eggs
White Star Hybrid,eggs
Whiting True Blue,eggs
Whiting True Green,eggs
Wyandotte,eggs
Wyandotte,meat
Yokohama,ornamental
